Player,Player_ID,Career_Span,Matches_Played,Total_Runs,Batting_Average,Wickets_Total,Bowling_Average,Average_Difference,Centuries,Five_Wickets,Catches_Total,Stumpings_Total
SR Tendulkar (IND),35320,1989-2013,200,15921,53.78,46,54.17,0.38,51,0,115,0
JE Root (ENG),303669,2012-2025,158,13543,51.29,73,47.46,3.83,39,1,213,0
RT Ponting (AUS),7133,1995-2012,168,13378,51.85,5,55.2,3.34,41,0,196,0
JH Kallis (ICC/SA),45789,1995-2013,166,13289,55.37,292,32.65,22.71,45,5,200,0
R Dravid (ICC/IND),28114,1996-2012,164,13288,52.31,1,39,13.31,36,0,210,0
AN Cook (ENG),11728,2006-2018,161,12472,45.35,1,7,38.35,33,0,175,0
KC Sangakkara (SL),50710,2000-2015,134,12400,57.4,0,0,0,38,0,182,20
BC Lara (ICC/WI),52337,1990-2006,131,11953,52.88,0,0,0,34,0,164,0
S Chanderpaul (WI),51469,1994-2015,164,11867,51.37,9,98.11,46.73,30,0,66,0
DPMD Jayawardene (SL),49289,1997-2014,149,11814,49.84,6,51.66,1.81,34,0,205,0
AR Border (AUS),4174,1978-1994,156,11174,50.56,39,39.1,11.45,27,2,156,0
SR Waugh (AUS),8192,1985-2004,168,10927,51.06,92,37.44,13.61,32,3,112,0
SPD Smith (AUS),267192,2010-2025,119,10477,56.02,19,53.05,2.97,36,0,201,0
SM Gavaskar (IND),28794,1971-1987,125,10122,51.12,1,206,154.87,34,0,108,0
Younis Khan (PAK),43652,2000-2017,118,10099,52.05,9,54.55,2.49,34,0,139,0
HM Amla (SA),43906,2004-2019,124,9282,46.64,0,0,0,28,0,108,0
KS Williamson (NZ),277906,2010-2024,105,9276,54.88,30,40.23,14.65,33,0,90,0
GC Smith (ICC/SA),47270,2002-2014,117,9265,48.25,8,110.62,62.36,27,0,169,0
V Kohli (IND),253802,2011-2025,123,9230,46.85,0,0,0,30,0,121,0
GA Gooch (ENG),13399,1975-1995,118,8900,42.58,23,46.47,3.89,20,0,103,0
Javed Miandad (PAK),40879,1976-1993,124,8832,52.57,17,40.11,12.45,23,0,93,1
Inzamam-ul-Haq (ICC/PAK),40570,1992-2007,120,8830,49.6,0,0,0,25,0,81,0
DA Warner (AUS),219889,2011-2024,112,8786,44.59,4,67.25,22.65,26,0,91,0
VVS Laxman (IND),30750,1996-2012,134,8781,45.97,2,63,17.02,17,0,135,0
AB de Villiers (SA),44936,2004-2018,114,8765,50.66,2,52,1.33,22,0,222,5
MJ Clarke (AUS),4578,2004-2015,115,8643,49.1,31,38.19,10.91,28,2,134,0
ML Hayden (AUS),5616,1994-2009,103,8625,50.73,0,0,0,30,0,128,0
V Sehwag (ICC/IND),35263,2001-2013,104,8586,49.34,40,47.35,1.99,23,1,91,0
IVA Richards (WI),52812,1974-1991,121,8540,50.23,32,61.37,11.13,24,0,122,0
AJ Stewart (ENG),20372,1990-2003,133,8463,39.54,0,0,0,15,0,263,14
DI Gower (ENG),13418,1978-1992,117,8231,44.25,1,20,24.25,18,0,74,0
AD Mathews (SL),49764,2009-2025,119,8214,44.4,33,54.48,10.08,16,0,78,0
KP Pietersen (ENG),19296,2005-2014,104,8181,47.28,10,88.6,41.31,23,0,62,0
G Boycott (ENG),9187,1964-1982,108,8114,47.72,7,54.57,6.84,22,0,33,0
GS Sobers (WI),52946,1954-1974,93,8032,57.78,235,34.03,23.74,26,6,109,0
ME Waugh (AUS),8189,1991-2002,128,8029,41.81,59,41.16,0.64,20,1,181,0
MA Atherton (ENG),8579,1989-2001,115,7728,37.69,2,151,113.3,16,0,83,0
IR Bell (ENG),9062,2004-2015,118,7727,42.69,1,76,33.3,22,0,100,0
JL Langer (AUS),6256,1993-2007,105,7696,45.27,0,0,0,23,0,73,0
LRPL Taylor (NZ),38699,2007-2022,112,7683,44.66,3,16,28.66,19,0,163,0
MC Cowdrey (ENG),10846,1954-1975,114,7624,44.06,0,0,0,22,0,120,0
CG Greenidge (WI),51901,1974-1991,108,7558,44.72,0,0,0,19,0,96,0
Mohammad Yousuf (PAK),43650,1998-2010,90,7530,52.29,0,0,0,24,0,65,0
MA Taylor (AUS),7924,1989-1999,104,7525,43.49,1,26,17.49,19,0,157,0
CH Lloyd (WI),52345,1966-1985,110,7515,46.67,10,62.2,15.52,19,0,90,0
DL Haynes (WI),52047,1978-1994,116,7487,42.29,1,8,34.29,18,0,65,0
DC Boon (AUS),4169,1984-1996,107,7422,43.65,0,0,0,21,0,99,0
G Kirsten (SA),45813,1993-2004,101,7289,45.27,2,71,25.72,21,0,83,0
WR Hammond (ENG),14022,1927-1947,85,7249,58.45,83,37.8,20.65,22,2,110,0
FDM Karunaratne (SL),227772,2012-2025,100,7222,39.25,2,101,61.74,16,0,62,0
CH Gayle (WI),51880,2000-2014,103,7214,42.18,73,42.73,0.55,15,2,96,0
