Player,Player_ID,Career_Span,Matches_Played,Innings_Batted,Not_Outs,Total_Runs,Highest_Score,Batting_Average,Centuries,Fifties,Ducks_Career
SR Tendulkar (IND),35320,1989-2013,200,329,33,15921,248,53.78,51,68,14
JE Root (ENG),303669,2012-2025,158,288,24,13543,262,51.29,39,66,13
RT Ponting (AUS),7133,1995-2012,168,287,29,13378,257,51.85,41,62,17
JH Kallis (ICC/SA),45789,1995-2013,166,280,40,13289,224,55.37,45,58,16
R Dravid (ICC/IND),28114,1996-2012,164,286,32,13288,270,52.31,36,63,8
AN Cook (ENG),11728,2006-2018,161,291,16,12472,294,45.35,33,57,9
KC Sangakkara (SL),50710,2000-2015,134,233,17,12400,319,57.4,38,52,11
BC Lara (ICC/WI),52337,1990-2006,131,232,6,11953,400,52.88,34,48,17
S Chanderpaul (WI),51469,1994-2015,164,280,49,11867,203,51.37,30,66,15
DPMD Jayawardene (SL),49289,1997-2014,149,252,15,11814,374,49.84,34,50,15
AR Border (AUS),4174,1978-1994,156,265,44,11174,205,50.56,27,63,11
SR Waugh (AUS),8192,1985-2004,168,260,46,10927,200,51.06,32,50,22
SPD Smith (AUS),267192,2010-2025,119,212,25,10477,239,56.02,36,43,11
SM Gavaskar (IND),28794,1971-1987,125,214,16,10122,236,51.12,34,45,12
Younis Khan (PAK),43652,2000-2017,118,213,19,10099,313,52.05,34,33,19
HM Amla (SA),43906,2004-2019,124,215,16,9282,311,46.64,28,41,13
KS Williamson (NZ),277906,2010-2024,105,186,17,9276,251,54.88,33,37,11
GC Smith (ICC/SA),47270,2002-2014,117,205,13,9265,277,48.25,27,38,11
V Kohli (IND),253802,2011-2025,123,210,13,9230,254,46.85,30,31,15
GA Gooch (ENG),13399,1975-1995,118,215,6,8900,333,42.58,20,46,13
Javed Miandad (PAK),40879,1976-1993,124,189,21,8832,280,52.57,23,43,6
Inzamam-ul-Haq (ICC/PAK),40570,1992-2007,120,200,22,8830,329,49.6,25,46,15
DA Warner (AUS),219889,2011-2024,112,205,8,8786,335,44.59,26,37,13
VVS Laxman (IND),30750,1996-2012,134,225,34,8781,281,45.97,17,56,14
AB de Villiers (SA),44936,2004-2018,114,191,18,8765,278,50.66,22,46,8
MJ Clarke (AUS),4578,2004-2015,115,198,22,8643,329,49.1,28,27,9
ML Hayden (AUS),5616,1994-2009,103,184,14,8625,380,50.73,30,29,14
V Sehwag (ICC/IND),35263,2001-2013,104,180,6,8586,319,49.34,23,32,16
IVA Richards (WI),52812,1974-1991,121,182,12,8540,291,50.23,24,45,10
AJ Stewart (ENG),20372,1990-2003,133,235,21,8463,190,39.54,15,45,14
DI Gower (ENG),13418,1978-1992,117,204,18,8231,215,44.25,18,39,7
AD Mathews (SL),49764,2009-2025,119,212,27,8214,200,44.4,16,45,6
KP Pietersen (ENG),19296,2005-2014,104,181,8,8181,227,47.28,23,35,10
G Boycott (ENG),9187,1964-1982,108,193,23,8114,246,47.72,22,42,10
GS Sobers (WI),52946,1954-1974,93,160,21,8032,365,57.78,26,30,12
ME Waugh (AUS),8189,1991-2002,128,209,17,8029,153,41.81,20,47,19
MA Atherton (ENG),8579,1989-2001,115,212,7,7728,185,37.69,16,46,20
IR Bell (ENG),9062,2004-2015,118,205,24,7727,235,42.69,22,46,14
JL Langer (AUS),6256,1993-2007,105,182,12,7696,250,45.27,23,30,11
LRPL Taylor (NZ),38699,2007-2022,112,196,24,7683,290,44.66,19,35,14
MC Cowdrey (ENG),10846,1954-1975,114,188,15,7624,182,44.06,22,38,9
CG Greenidge (WI),51901,1974-1991,108,185,16,7558,226,44.72,19,34,11
Mohammad Yousuf (PAK),43650,1998-2010,90,156,12,7530,223,52.29,24,33,11
MA Taylor (AUS),7924,1989-1999,104,186,13,7525,334,43.49,19,40,5
CH Lloyd (WI),52345,1966-1985,110,175,14,7515,242,46.67,19,39,4
DL Haynes (WI),52047,1978-1994,116,202,25,7487,184,42.29,18,39,10
DC Boon (AUS),4169,1984-1996,107,190,20,7422,200,43.65,21,32,16
G Kirsten (SA),45813,1993-2004,101,176,15,7289,275,45.27,21,34,13
WR Hammond (ENG),14022,1927-1947,85,140,16,7249,336,58.45,22,24,4
FDM Karunaratne (SL),227772,2012-2025,100,191,7,7222,244,39.25,16,39,13
CH Gayle (WI),51880,2000-2014,103,182,11,7214,333,42.18,15,37,15
SC Ganguly (IND),28779,1996-2008,113,188,17,7212,239,42.17,16,35,13
CA Pujara (IND),32540,2010-2023,103,176,11,7195,206,43.6,19,35,12
SP Fleming (NZ),37000,1994-2008,111,189,10,7172,274,40.06,9,46,16
Azhar Ali (PAK),39037,2010-2022,97,180,11,7142,302,42.26,19,35,19
GS Chappell (AUS),4558,1970-1984,87,151,19,7110,247,53.86,24,31,12
AJ Strauss (ENG),20387,2004-2012,100,178,6,7037,177,40.91,21,27,15
BA Stokes (ENG),311158,2013-2025,115,206,9,7032,258,35.69,14,35,16
