Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
M Muralidaran (ICC/SL),49636,1992-2010,133,18180,800,22.72,2.47,55,67,22
SK Warne (AUS),8166,1992-2007,145,17995,708,25.41,2.65,57.4,37,10
JM Anderson (ENG),8608,2003-2024,188,18627,704,26.45,2.79,56.8,32,3
A Kumble (IND),30176,1990-2008,132,18355,619,29.65,2.69,65.9,35,8
SCJ Broad (ENG),10617,2007-2023,167,16719,604,27.68,2.97,55.7,20,3
GD McGrath (AUS),6565,1993-2007,124,12186,563,21.64,2.49,51.9,29,3
NM Lyon (AUS),272279,2011-2025,139,16942,562,30.14,2.94,61.3,24,5
R Ashwin (IND),26421,2011-2024,106,12891,537,24,2.83,50.7,37,8
CA Walsh (WI),53216,1984-2001,132,12688,519,24.44,2.53,57.8,22,3
DW Steyn (SA),47492,2004-2019,93,10077,439,22.95,3.24,42.3,26,5
N Kapil Dev (IND),30028,1978-1994,131,12867,434,29.64,2.78,63.9,23,2
HMRKB Herath (SL),49178,1999-2018,93,12157,433,28.07,2.8,60,34,9
Sir RJ Hadlee (NZ),37224,1973-1990,86,9611,431,22.29,2.63,50.8,36,9
SM Pollock (SA),46774,1995-2008,108,9733,421,23.11,2.39,57.8,16,1
Harbhajan Singh (IND),29264,1998-2015,103,13537,417,32.46,2.84,68.5,25,5
Wasim Akram (PAK),43547,1985-2002,104,9779,414,23.62,2.59,54.6,25,5
CEL Ambrose (WI),51107,1988-2000,98,8501,405,20.99,2.3,54.5,22,3
MA Starc (AUS),311592,2011-2025,100,10863,402,27.02,3.41,47.4,16,2
TG Southee (NZ),232364,2008-2024,107,11832,391,30.26,3.02,60,15,1
M Ntini (SA),46592,1998-2009,101,11242,390,28.82,3.23,53.4,18,4
IT Botham (ENG),9163,1977-1992,102,10878,383,28.4,2.99,56.9,27,4
MD Marshall (WI),52419,1978-1991,81,7876,376,20.94,2.68,46.7,22,4
Waqar Younis (PAK),43543,1989-2003,87,8788,373,23.56,3.25,43.4,22,5
Imran Khan (PAK),40560,1971-1992,88,8258,362,22.81,2.54,53.7,23,6
DL Vettori (ICC/NZ),38710,1997-2014,113,12441,362,34.36,2.59,79.5,20,3
DK Lillee (AUS),6295,1971-1984,70,8493,355,23.92,2.75,52,23,7
WPUJC Vaas (SL),50804,1994-2009,111,10501,355,29.58,2.68,66,12,2
K Rabada (SA),550215,2015-2025,73,7493,340,22.03,3.34,39.5,17,4
RA Jadeja (IND),234675,2012-2025,87,8522,338,25.21,2.59,58.3,15,3
AA Donald (SA),44716,1992-2002,72,7344,330,22.25,2.83,47,20,3
RGD Willis (ENG),22462,1971-1984,90,8190,325,25.2,2.83,53.4,16,0
TA Boult (NZ),277912,2011-2022,78,8717,317,27.49,3,54.9,10,1
MG Johnson (AUS),6033,2007-2015,73,8891,313,28.4,3.33,51.1,12,3
Z Khan (IND),30102,2000-2014,92,10247,311,32.94,3.27,60.4,11,1
I Sharma (IND),236779,2007-2021,105,10078,311,32.4,3.15,61.6,11,1
B Lee (AUS),6278,1999-2008,76,9554,310,30.81,3.46,53.3,10,0
PJ Cummins (AUS),489889,2011-2025,71,6829,309,22.1,2.88,45.9,14,2
LR Gibbs (WI),51883,1958-1976,79,8989,309,29.09,1.98,87.7,18,2
M Morkel (SA),46538,2006-2018,86,8550,309,27.66,3.1,53.3,8,0
