ID,Player_ID,Player_Name,Country,Career_Span,Matches_Played,Active_Player,Is_Allrounder,Player_Category,Innings_Batted,Total_Runs,Batting_Average,Not_Outs,Highest_Score,Centuries,Fifties,Ducks_Career,Stumpings_Total,Catches_Total,Fielding_Catches,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets,Innings_Fielded
1,1078692,A Athanaze,WI,2023-2025,15,Yes,Yes,Batsman,29,725,25.0,0,92,0,4,2,0,13,13,79,1,79.0,3.03,156.0,0,0,27
2,44026,A Bacher,SA,1965-1970,12,No,Yes,Batsman,22,679,32.33,1,73,0,6,1,0,10,10,0,0,0.0,0.0,0.0,0,0,24
3,303423,A Balbirnie,IRE,2018-2025,11,Yes,Yes,Bowler,21,476,23.8,1,95,0,5,4,0,10,10,8,0,0.0,8.0,0.0,0,0,18
4,9249,A Brown,ENG,1961-1961,2,No,Yes,Bowler,1,3,0.0,1,3,0,0,0,0,1,1,150,3,50.0,2.78,107.6,0,0,4
5,27639,A Chopra,IND,2003-2004,10,No,Yes,Bowler,19,437,23.0,0,60,0,2,1,0,15,15,0,0,0.0,0.0,0.0,0,0,19
6,4611,A Coningham,AUS,1894-1895,1,No,Yes,Bowler,2,13,6.5,0,10,0,0,0,0,0,0,76,2,38.0,2.45,93.0,0,0,2
7,4632,A Cotter,AUS,1904-1912,21,No,Yes,Bowler,37,457,13.05,2,45,0,0,6,0,8,8,2549,89,28.64,3.3,52.0,7,0,40
8,10850,A Coxon,ENG,1948-1948,1,No,Yes,Batsman,2,19,9.5,0,19,0,0,1,0,0,0,172,3,57.33,2.73,126.0,0,0,2
9,40041,A D'Souza,PAK,1959-1962,6,No,Yes,Batsman,10,76,38.0,8,23,0,0,0,0,3,3,745,17,43.82,2.81,93.3,1,0,10
10,574178,A Dananjaya,SL,2018-2019,6,No,Yes,Bowler,10,135,16.87,2,43,0,0,3,0,1,1,819,33,24.81,3.54,41.9,4,0,12
11,11919,A Dolphin,ENG,1921-1921,1,No,Yes,Bowler,2,1,0.5,0,1,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0,2
12,11943,A Ducat,ENG,1921-1921,1,No,Yes,Bowler,2,5,2.5,0,3,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,2
13,12835,A Fielder,ENG,1904-1908,6,No,Yes,Bowler,12,78,11.14,5,20,0,0,0,0,4,4,711,26,27.34,2.86,57.3,1,0,12
14,12856,A Flintoff,ENG,1998-2009,79,No,Yes,Batsman,130,3845,31.77,9,167,5,26,17,0,52,52,7410,226,32.78,2.97,66.1,3,0,144
15,55427,A Flower,ZIM,1992-2002,63,No,Yes,Wicketkeeper,112,4794,51.54,19,232,12,27,5,9,151,142,4,0,0.0,8.0,0.0,0,0,110
16,28772,A Gandotra,IND,1969-1969,2,No,Yes,Bowler,4,54,13.5,0,18,0,0,0,0,1,1,5,0,0.0,5.0,0.0,0,0,4
17,13451,A Greenwood,ENG,1877-1877,2,No,Yes,Bowler,4,77,19.25,0,49,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0,0,4
18,13985,A Habib,ENG,1999-1999,2,No,Yes,Bowler,3,26,8.66,0,19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,4
19,14129,A Hearne,ENG,1892-1892,1,No,Yes,Bowler,1,9,9.0,0,9,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,2
20,14197,A Hill,ENG,1877-1877,2,No,Yes,Batsman,4,101,50.5,2,49,0,0,1,0,1,1,130,7,18.57,2.29,48.5,0,0,4
21,5733,A Hurwood,AUS,1930-1931,2,No,Yes,Bowler,2,5,2.5,0,5,0,0,1,0,2,2,170,11,15.45,1.97,47.0,0,0,4
22,6000,A Jackson,AUS,1929-1931,8,No,Yes,Batsman,11,474,47.4,1,164,1,2,1,0,7,7,0,0,0.0,0.0,0.0,0,0,16
23,29632,A Jadeja,IND,1992-2000,15,No,Yes,Bowler,24,576,26.18,2,96,0,4,1,0,5,5,0,0,0.0,0.0,0.0,0,0,25
24,1175428,A Kamboj,IND,2025-2025,1,Yes,Yes,Batsman,1,0,0.0,0,0,0,0,1,0,0,0,89,1,89.0,4.94,108.0,0,0,1
25,23911,A Khan,ENG,2009-2009,1,No,Yes,Batsman,0,0,0.0,0,0,0,0,0,0,0,0,122,1,122.0,4.2,174.0,0,0,2
26,30176,A Kumble,IND,1990-2008,132,No,Yes,Bowler,173,2506,17.77,32,110,1,5,17,0,60,60,18355,619,29.65,2.69,65.9,35,8,242
27,30182,A Kuruvilla,IND,1997-1997,10,No,Yes,Bowler,11,66,6.6,1,35,0,0,5,0,0,0,892,25,35.68,3.03,70.6,1,0,15
28,251721,A Lyth,ENG,2015-2015,7,No,Yes,Bowler,13,265,20.38,0,107,1,0,1,0,8,8,0,0,0.0,0.0,0.0,0,0,13
29,55573,A Maregwede,ZIM,2004-2004,2,No,Yes,Bowler,4,74,18.5,0,28,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0,2
30,16975,A McGrath,ENG,2003-2003,4,No,Yes,Batsman,5,201,40.2,0,81,0,2,0,0,3,3,56,4,14.0,3.29,25.5,0,0,7
31,46221,A Melville,SA,1938-1949,11,No,Yes,Batsman,19,894,52.58,2,189,4,3,2,0,8,8,0,0,0.0,0.0,0.0,0,0,20
32,31107,A Mishra,IND,2008-2016,22,No,Yes,Batsman,32,648,21.6,2,84,0,4,4,0,8,8,2715,76,35.72,3.19,67.1,1,0,40
33,17045,A Mitchell,ENG,1933-1936,6,No,Yes,Bowler,10,298,29.8,0,72,0,2,1,0,9,9,4,0,0.0,4.0,0.0,0,0,12
34,310958,A Mithun,IND,2010-2011,4,No,Yes,Batsman,5,120,24.0,0,46,0,0,1,0,0,0,456,9,50.66,3.8,80.0,0,0,8
35,302582,A Mukund,IND,2011-2017,7,No,Yes,Bowler,14,320,22.85,0,81,0,2,3,0,6,6,14,0,0.0,7.0,0.0,0,0,14
36,596456,A Ndlovu,ZIM,2020-2020,2,No,Yes,Batsman,4,9,2.25,0,5,0,0,2,0,2,2,277,2,138.5,3.95,210.0,0,0,3
37,31820,A Nehra,IND,1999-2004,17,No,Yes,Bowler,25,77,5.5,11,19,0,0,10,0,5,5,1866,44,42.4,3.24,78.3,0,0,30
38,46569,A Nel,SA,2001-2008,36,No,Yes,Bowler,42,337,9.91,8,34,0,0,11,0,16,16,3919,123,31.86,3.08,62.0,3,1,69
39,481979,A Nortje,SA,2019-2023,19,No,Yes,Bowler,33,187,7.79,9,40,0,0,8,0,6,6,1870,70,26.71,3.67,43.6,4,0,32
40,914467,A Phillip,WI,2022-2025,4,Yes,Yes,Batsman,7,100,25.0,3,43,0,0,0,0,2,2,361,4,90.25,4.29,126.0,0,0,8
41,50244,A Ranatunga,SL,1982-2000,93,No,Yes,Batsman,155,5105,35.69,12,135,4,38,12,0,47,47,1040,16,65.0,2.62,148.3,0,0,148
42,33127,A Ratra,IND,2002-2002,6,No,Yes,Wicketkeeper,10,163,18.11,1,115,1,0,1,2,11,9,1,0,0.0,1.0,0.0,0,0,11
43,46996,A Rose-Innes,SA,1889-1889,2,No,Yes,Bowler,4,14,3.5,0,13,0,0,2,0,2,2,89,5,17.8,4.17,25.6,1,0,3
44,20058,A Sandham,ENG,1921-1930,14,No,Yes,Batsman,23,879,38.21,0,325,2,3,3,0,4,4,0,0,0.0,0.0,0.0,0,0,24
45,52957,A Sanford,WI,2002-2004,11,No,Yes,Bowler,17,72,4.8,2,18,0,0,2,0,4,4,1316,30,43.86,3.56,73.9,0,0,19
46,21431,A Shahzad,ENG,2010-2010,1,No,Yes,Bowler,1,5,5.0,0,5,0,0,0,0,2,2,63,4,15.75,3.7,25.5,0,0,2
47,20137,A Shaw,ENG,1877-1882,7,No,Yes,Bowler,12,111,10.09,1,40,0,0,1,0,4,4,285,12,23.75,1.56,91.3,1,0,13
48,20179,A Shrewsbury snr,ENG,1881-1893,23,No,Yes,Batsman,40,1277,35.47,4,164,3,4,1,0,29,29,2,0,0.0,1.0,0.0,0,0,42
49,20185,A Sidebottom,ENG,1985-1985,1,No,Yes,Bowler,1,2,2.0,0,2,0,0,0,0,0,0,65,1,65.0,3.48,112.0,0,0,1
50,7702,A Symonds,AUS,2004-2008,26,No,Yes,Batsman,41,1462,40.61,5,162,2,10,4,0,22,22,896,24,37.33,2.56,87.2,0,0,52
51,7989,A Turner,AUS,1975-1977,14,No,Yes,Bowler,27,768,29.53,1,136,1,3,2,0,15,15,0,0,0.0,0.0,0.0,0,0,27
52,22251,A Waddington,ENG,1920-1921,2,No,Yes,Batsman,4,16,4.0,0,7,0,0,1,0,1,1,119,1,119.0,2.58,276.0,0,0,4
53,22290,A Ward,ENG,1893-1895,7,No,Yes,Batsman,13,487,37.46,0,117,1,3,1,0,1,1,0,0,0.0,0.0,0.0,0,0,13
54,22314,A Warren,ENG,1905-1905,1,No,Yes,Bowler,1,7,7.0,0,7,0,0,0,0,1,1,113,6,18.83,2.87,39.3,1,0,2
55,22381,A Wharton,ENG,1949-1949,1,No,Yes,Bowler,2,20,10.0,0,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2
56,22496,A Wood,ENG,1938-1939,4,No,Yes,Wicketkeeper,5,80,20.0,1,53,0,1,1,1,10,9,0,0,0.0,0.0,0.0,0,0,7
57,26817,AA Baig,IND,1959-1967,10,No,Yes,Bowler,18,428,23.77,0,112,1,2,1,0,6,6,15,0,0.0,5.0,0.0,0,0,17
58,44716,AA Donald,SA,1992-2002,72,No,Yes,Bowler,94,652,10.68,33,37,0,0,17,0,18,18,7344,330,22.25,2.83,47.0,20,3,134
59,820681,AA Jangoo,WI,2025-2025,1,Yes,Yes,Bowler,2,30,15.0,0,30,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0,2
60,6465,AA Mailey,AUS,1920-1926,21,No,Yes,Bowler,29,222,11.1,9,46,0,0,3,0,14,14,3358,99,33.91,3.29,61.8,6,2,38
61,6472,AA Mallett,AUS,1968-1980,38,No,Yes,Bowler,50,430,11.62,13,43,0,0,10,0,30,30,3940,132,29.84,2.36,75.6,6,1,73
62,1039481,AAP Atkinson,ENG,2024-2025,13,Yes,Yes,Batsman,18,380,22.35,1,118,1,0,1,0,6,6,1387,63,22.01,3.68,35.8,4,1,26
63,26184,AB Agarkar,IND,1998-2006,26,No,Yes,Batsman,39,571,16.79,5,109,1,0,9,0,6,6,2745,58,47.32,3.39,83.7,1,0,48
64,274926,AB Barath,WI,2009-2012,15,No,Yes,Bowler,28,657,23.46,0,104,1,4,2,0,13,13,4,0,0.0,4.0,0.0,0,0,27
65,51866,AB Fudadin,WI,2012-2012,3,No,Yes,Bowler,5,122,30.5,1,55,0,1,0,0,4,4,11,0,0.0,2.2,0.0,0,0,5
66,52067,AB Howard,WI,1972-1972,1,No,Yes,Bowler,0,0,0.0,0,0,0,0,0,0,0,0,140,2,70.0,2.25,186.0,0,0,1
67,6553,AB McDonald,AUS,2009-2009,4,No,Yes,Batsman,6,107,21.4,1,68,0,1,1,0,2,2,300,9,33.33,2.45,81.3,0,0,7
68,47521,AB Tancred,SA,1889-1889,2,No,Yes,Bowler,4,87,29.0,1,29,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0,0,3
69,53228,AB Williams,WI,1978-1979,7,No,Yes,Batsman,12,469,39.08,0,111,2,1,1,0,5,5,0,0,0.0,0.0,0.0,0,0,12
70,44936,AB de Villiers,SA,2004-2018,114,No,Yes,Wicketkeeper,191,8765,50.66,18,278,22,46,8,5,222,217,104,2,52.0,3.05,102.0,0,0,217
71,505120,AC Agar,AUS,2013-2023,5,No,Yes,Batsman,7,195,32.5,1,98,0,1,0,0,0,0,468,9,52.0,2.79,111.7,0,0,10
72,4089,AC Bannerman,AUS,1879-1893,28,No,Yes,Batsman,50,1108,23.08,2,94,0,8,3,0,21,21,163,4,40.75,3.34,73.0,0,0,49
73,51488,AC Cummins,WI,1993-1994,5,No,Yes,Batsman,6,98,19.6,1,50,0,1,1,0,1,1,342,8,42.75,3.32,77.2,0,0,9
74,4890,AC Dale,AUS,1998-1999,2,No,Yes,Bowler,3,6,2.0,0,5,0,0,1,0,0,0,187,6,31.16,3.22,58.0,0,0,4
75,44682,AC Dawson,SA,2003-2003,2,No,Yes,Bowler,1,10,10.0,0,10,0,0,0,0,0,0,117,5,23.4,2.78,50.4,0,0,4
76,5390,AC Gilchrist,AUS,1999-2008,96,No,Yes,Wicketkeeper,137,5570,47.6,20,204,17,26,14,37,379,342,0,0,0.0,0.0,0.0,0,0,191
77,45458,AC Hudson,SA,1992-1998,35,No,Yes,Batsman,63,2007,33.45,3,163,4,13,7,0,36,36,0,0,0.0,0.0,0.0,0,0,63
78,16871,AC MacLaren,ENG,1894-1909,35,No,Yes,Batsman,61,1931,33.87,4,140,5,8,4,0,29,29,0,0,0.0,0.0,0.0,0,0,64
79,38117,AC Parore,NZ,1990-2002,78,No,Yes,Wicketkeeper,128,2865,26.28,19,110,2,14,6,7,197,190,0,0,0.0,0.0,0.0,0,0,138
80,20222,AC Smith,ENG,1962-1963,6,No,Yes,Bowler,7,118,29.5,3,69,0,1,0,0,20,20,0,0,0.0,0.0,0.0,0,0,12
81,8119,AC Voges,AUS,2015-2016,20,No,Yes,Batsman,31,1485,61.87,7,269,5,4,2,0,15,15,44,0,0.0,3.47,0.0,0,0,37
82,55840,AC Waller,ZIM,1996-1996,2,No,Yes,Bowler,3,69,23.0,0,50,0,1,0,0,1,1,0,0,0.0,0.0,0.0,0,0,4
83,46132,ACB Langton,SA,1935-1939,15,No,Yes,Batsman,23,298,15.68,4,73,0,2,5,0,8,8,1827,40,45.67,2.61,104.9,1,0,23
84,55560,ACI Lock,ZIM,1995-1995,1,No,Yes,Bowler,2,8,8.0,1,8,0,0,1,0,0,0,105,5,21.0,3.5,36.0,0,0,2
85,18533,ACS Pigott,ENG,1984-1984,1,No,Yes,Bowler,2,12,12.0,1,8,0,0,0,0,0,0,75,2,37.5,4.41,51.0,0,0,1
86,28754,AD Gaekwad,IND,1974-1985,40,No,Yes,Batsman,70,1985,30.07,4,201,2,10,4,0,15,15,187,2,93.5,3.35,167.0,0,0,66
87,249866,AD Hales,ENG,2015-2016,11,No,Yes,Bowler,21,573,27.28,0,94,0,5,0,0,8,8,2,0,0.0,0.66,0.0,0,0,21
88,49764,AD Mathews,SL,2009-2025,119,Yes,Yes,Batsman,212,8214,44.4,27,200,16,45,6,0,78,78,1798,33,54.48,2.71,120.5,0,0,217
89,17121,AD Mullally,ENG,1996-2001,19,No,Yes,Bowler,27,127,5.52,4,24,0,0,12,0,6,6,1812,58,31.24,2.4,78.0,1,0,34
90,46589,AD Nourse,SA,1935-1951,34,No,Yes,Batsman,62,2960,53.81,7,231,9,14,3,0,12,12,9,0,0.0,2.7,0.0,0,0,57
