Player,Player_ID,Career_Span,Matches_Played,Innings_Fielded,Dismissals_Total,Catches_Total,Stumpings_Total,Dismissals_Per_Innings
MV Boucher (ICC/SA),44111,1997-2012,147,281,555,532,23,1.975
AC Gilchrist (AUS),5390,1999-2008,96,191,416,379,37,2.178
IA Healy (AUS),5628,1988-1999,119,224,395,366,29,1.763
RW Marsh (AUS),6502,1970-1984,96,182,355,343,12,1.95
MS Dhoni (IND),28081,2005-2014,90,166,294,256,38,1.771
AJ Stewart (ENG),20372,1990-2003,133,231,277,263,14,1.199
BJ Watling (NZ),38924,2009-2021,75,143,275,267,8,1.923
PJL Dujon (WI),51657,1981-1991,81,154,272,267,5,1.766
BJ Haddin (AUS),5560,2008-2015,66,128,270,262,8,2.109
APE Knott (ENG),15917,1967-1981,95,174,269,250,19,1.545
JM Bairstow (ENG),297433,2012-2024,100,188,256,242,14,1.361
MJ Prior (ENG),18675,2007-2014,79,146,256,243,13,1.753
Q de Kock (SA),379143,2014-2021,54,101,232,221,11,2.297
Wasim Bari (PAK),43549,1967-1984,81,146,228,201,27,1.561
AB de Villiers (SA),44936,2004-2018,114,217,227,222,5,1.046
TG Evans (ENG),12543,1946-1959,91,175,219,173,46,1.251
RD Jacobs (WI),52199,1998-2004,65,122,219,207,12,1.795
D Ramdin (WI),52917,2005-2016,74,131,217,205,12,1.656
JE Root (ENG),303669,2012-2025,158,301,213,213,0,0.707
R Dravid (ICC/IND),28114,1996-2012,164,301,210,210,0,0.697
BB McCullum (NZ),37737,2004-2016,101,186,209,198,11,1.123
Kamran Akmal (PAK),41028,2002-2010,53,99,206,184,22,2.08
DPMD Jayawardene (SL),49289,1997-2014,149,270,205,205,0,0.759
AC Parore (NZ),38117,1990-2002,78,138,204,197,7,1.478
KC Sangakkara (SL),50710,2000-2015,134,248,202,182,20,0.814
SPD Smith (AUS),267192,2010-2025,119,227,201,201,0,0.885
JH Kallis (ICC/SA),45789,1995-2013,166,315,200,200,0,0.634
SMH Kirmani (IND),30116,1976-1986,88,151,198,160,38,1.311
RT Ponting (AUS),7133,1995-2012,168,328,196,196,0,0.597
DL Murray (WI),52441,1963-1980,62,119,189,181,8,1.588
ATW Grout (AUS),5449,1957-1966,51,98,187,163,24,1.908
Sarfaraz Ahmed (PAK),227760,2010-2023,54,104,182,160,22,1.75
ME Waugh (AUS),8189,1991-2002,128,245,181,181,0,0.738
AT Carey (AUS),326434,2021-2025,43,82,177,159,18,2.158
IDS Smith (NZ),38396,1980-1992,63,109,176,168,8,1.614
AN Cook (ENG),11728,2006-2018,161,300,175,175,0,0.583
RW Taylor (ENG),21494,1971-1984,57,106,174,167,7,1.641
SP Fleming (NZ),37000,1994-2008,111,199,171,171,0,0.859
RR Pant (IND),931581,2018-2025,47,92,171,156,15,1.858
GC Smith (ICC/SA),47270,2002-2014,117,225,169,169,0,0.751
RC Russell (ENG),19500,1988-1998,54,96,165,153,12,1.718
BC Lara (ICC/WI),52337,1990-2006,131,241,164,164,0,0.68
LRPL Taylor (NZ),38699,2007-2022,112,212,163,163,0,0.768
N Dickwella (SL),429754,2014-2023,54,98,161,134,27,1.642
A Flower (ZIM),55427,1992-2002,63,110,160,151,9,1.454
TD Paine (AUS),7252,2010-2021,35,68,157,150,7,2.308
MA Taylor (AUS),7924,1989-1999,104,197,157,157,0,0.796
AR Border (AUS),4174,1978-1994,156,277,156,156,0,0.563
HAPW Jayawardene (SL),49236,2000-2015,58,102,156,124,32,1.529
JC Buttler (ENG),308967,2014-2022,57,108,154,153,1,1.425
DJ Richardson (SA),46978,1992-1998,42,77,152,150,2,1.974
Moin Khan (PAK),41306,1990-2004,69,124,148,128,20,1.193
JHB Waite (SA),47857,1951-1965,50,94,141,124,17,1.5
Younis Khan (PAK),43652,2000-2017,118,221,139,139,0,0.628
VVS Laxman (IND),30750,1996-2012,134,248,135,135,0,0.544
MJ Clarke (AUS),4578,2004-2015,115,223,134,134,0,0.6
GO Jones (ENG),15501,2004-2006,34,66,133,128,5,2.015
KS More (IND),31038,1986-1993,49,90,130,110,20,1.444
WAS Oldfield (AUS),7003,1920-1937,54,101,130,78,52,1.287
Rashid Latif (PAK),42423,1992-2003,37,69,130,119,11,1.884
ML Hayden (AUS),5616,1994-2009,103,205,128,128,0,0.624
J Da Silva (WI),1168667,2020-2024,33,62,127,121,6,2.048
Mushfiqur Rahim (BAN),56029,2005-2025,99,173,127,112,15,0.734
Litton Das (BAN),536936,2015-2025,51,86,126,109,17,1.465
TA Blundell (NZ),440516,2017-2025,42,83,125,109,16,1.506
SK Warne (AUS),8166,1992-2007,145,281,125,125,0,0.444
HP Tillakaratne (SL),50744,1989-2004,83,141,124,122,2,0.879
GS Chappell (AUS),4558,1970-1984,87,165,122,122,0,0.739
IVA Richards (WI),52812,1974-1991,121,232,122,122,0,0.525
V Kohli (IND),253802,2011-2025,123,236,121,121,0,0.512
AJ Strauss (ENG),20387,2004-2012,100,189,121,121,0,0.64
IT Botham (ENG),9163,1977-1992,102,179,120,120,0,0.67
MC Cowdrey (ENG),10846,1954-1975,114,214,120,120,0,0.56
RS Kaluwitharana (SL),49361,1992-2004,49,87,119,93,26,1.367
BKG Mendis (SL),629074,2015-2025,73,133,118,114,4,0.887
Mohammad Rizwan (PAK),323389,2016-2025,41,74,118,108,10,1.594
CL Hooper (WI),52066,1987-2002,102,189,115,115,0,0.608
SR Tendulkar (IND),35320,1989-2013,200,366,115,115,0,0.314
JM Parks (ENG),18435,1954-1968,46,86,114,103,11,1.325
BA Stokes (ENG),311158,2013-2025,115,220,113,113,0,0.513
SR Waugh (AUS),8192,1985-2004,168,318,112,112,0,0.352
WR Hammond (ENG),14022,1927-1947,85,154,110,110,0,0.714
RB Simpson (AUS),7619,1957-1978,62,117,110,110,0,0.94
GS Sobers (WI),52946,1954-1974,93,172,109,109,0,0.633
HM Amla (SA),43906,2004-2019,124,234,108,108,0,0.461
SM Gavaskar (IND),28794,1971-1987,125,216,108,108,0,0.5
JM Anderson (ENG),8608,2003-2024,188,355,107,107,0,0.301
NR Mongia (IND),31036,1994-2001,44,77,107,99,8,1.389
M Azharuddin (IND),26329,1984-2000,99,177,105,105,0,0.593
LD Chandimal (SL),300628,2011-2025,90,167,105,95,10,0.628
IM Chappell (AUS),4560,1964-1980,75,144,105,105,0,0.729
GP Thorpe (ENG),21537,1993-2005,100,179,105,105,0,0.586
WP Saha (IND),279810,2010-2021,40,77,104,92,12,1.35
